iter	RMSE
0	1.97117031
1	1.943859683
2	1.922775243
3	1.897985391
4	1.875290184
5	1.849908601
6	1.828423301
7	1.808579454
8	1.787191572
9	1.768699171
10	1.752023373
11	1.734391823
12	1.725021386
13	1.711343431
14	1.702572903
15	1.688434856
16	1.681578293
17	1.670058569
18	1.656548677
19	1.642453761
20	1.628848792
21	1.618752853
22	1.613920632
23	1.608555063
24	1.593295233
25	1.586230528
26	1.578039005
27	1.573027813
28	1.560184177
29	1.556559639
30	1.544455484
31	1.535739317
32	1.526110879
33	1.520665968
34	1.51857068
35	1.509828399
36	1.504274279
37	1.499794851
38	1.495213816
39	1.48797632
40	1.479055051
41	1.475183115
42	1.468007517
43	1.46200947
44	1.456993528
45	1.449922303
46	1.441419981
47	1.438386291
48	1.43079808
49	1.4231641
50	1.416944631
51	1.416745478
52	1.413229702
53	1.406343875
54	1.402023956
55	1.398726135
56	1.392589341
57	1.386202388
58	1.385211194
59	1.378688184
60	1.371869091
61	1.366530457
62	1.359909134
63	1.356651348
64	1.352519679
65	1.347613906
66	1.34124769
67	1.335322297
68	1.331537056
69	1.326015709
70	1.323443294
71	1.317357122
72	1.314847748
73	1.310867545
74	1.30574239
75	1.301489948
76	1.299604292
77	1.295142428
78	1.292274218
79	1.288232749
80	1.285267631
81	1.283249392
82	1.278372365
83	1.271136641
84	1.268049107
85	1.265935051
86	1.260263176
87	1.256346282
88	1.252405443
89	1.248483269
90	1.24391568
91	1.241581947
92	1.236464539
93	1.233513042
94	1.226193062
95	1.223555448
96	1.219654329
97	1.21738024
98	1.213751181
99	1.21054965
100	1.20557835
101	1.201934616
102	1.195942481
103	1.192497421
104	1.189621068
105	1.183600155
106	1.178418003
107	1.177346935
108	1.172765654
109	1.168134664
110	1.163595832
111	1.159287457
112	1.153991496
113	1.152481435
114	1.148390633
115	1.14616764
116	1.143059805
117	1.139599311
118	1.137505137
119	1.136612091
120	1.132006559
121	1.129608065
122	1.126460527
123	1.122072648
124	1.119215883
125	1.11505867
126	1.11127554
127	1.106538606
128	1.10419239
129	1.098527687
130	1.094558337
131	1.092202315
132	1.088588236
133	1.087254383
134	1.085309347
135	1.080871319
136	1.077788995
137	1.07603151
138	1.072452263
139	1.07068816
140	1.068216457
141	1.065590011
142	1.063141641
143	1.061867258
144	1.059883707
145	1.05549891
146	1.053300817
147	1.051081626
148	1.048970603
149	1.044314431
150	1.042241188
151	1.038565853
152	1.035696375
153	1.034591927
154	1.03165432
155	1.030059289
156	1.027906765
157	1.025526948
158	1.024022902
159	1.022984712
160	1.020623484
161	1.016526681
162	1.01512388
163	1.013251028
164	1.010537598
165	1.007014475
166	1.003716641
167	1.001091652
168	0.9976906517
169	0.9961487356
170	0.9949374381
171	0.9913101815
172	0.9896059298
173	0.9884203918
174	0.9854691506
175	0.9828088902
176	0.9825469759
177	0.9806485503
178	0.9779084689
179	0.9741615289
180	0.9738027908
181	0.97341967
182	0.9718665204
183	0.9708662626
184	0.9695109857
185	0.9678130603
186	0.966631537
187	0.9664165451
188	0.964494791
189	0.9617631109
190	0.958803255
191	0.9578736398
192	0.955416141
193	0.9533118746
194	0.9526222855
195	0.9500069916
196	0.9489407102
197	0.9470285148
198	0.944951783
199	0.9436623191
200	0.9414113629
201	0.9394202973
202	0.9391909278
203	0.9373463247
204	0.9368282158
205	0.9360720198
206	0.933637166
207	0.9314793177
208	0.9284863071
209	0.9261621076
210	0.9259720642
211	0.925638925
212	0.9251953814
213	0.9224999437
214	0.922245756
215	0.9212084041
216	0.9201381062
217	0.9180728923
218	0.9155715515
219	0.9136715067
220	0.9132133071
221	0.9113391096
222	0.909179246
223	0.9058080528
224	0.9032879221
225	0.9030697886
226	0.9024157592
227	0.9022294213
228	0.9003411505
229	0.8964161954
230	0.8961422415
231	0.8931737329
232	0.8899406458
233	0.8874198854
234	0.885551826
235	0.8828771351
236	0.8824822752
237	0.8806541717
238	0.8777259856
239	0.8754449927
240	0.8721573587
241	0.8719481445
242	0.8718180105
243	0.8715138266
244	0.8713421406
245	0.8711915341
246	0.870846775
247	0.8691047656
248	0.8667950381
249	0.8665946985
250	0.8638706592
251	0.8626945199
252	0.8625689132
253	0.8605022359
254	0.8578621543
255	0.8565232563
256	0.8554276358
