iter	Passed	Remaining
0	0	564
1	0	498
2	1	476
3	1	461
4	2	418
5	2	415
6	2	408
7	3	395
8	3	388
9	3	389
10	4	386
11	4	385
12	4	371
13	5	368
14	5	361
15	5	362
16	6	351
17	6	355
18	6	360
19	7	366
20	7	372
21	8	388
22	8	379
23	9	391
24	10	394
25	10	397
26	10	395
27	11	395
28	11	397
29	12	394
30	12	393
31	13	395
32	13	397
33	14	400
34	14	393
35	14	391
36	15	392
37	15	392
38	15	391
39	16	392
40	16	393
41	17	392
42	17	393
43	18	393
44	18	394
45	19	395
46	19	395
47	19	395
48	20	395
49	20	394
50	21	393
51	21	389
52	21	387
53	22	387
54	22	387
55	23	388
56	23	388
57	23	388
58	24	388
59	24	387
60	25	389
61	25	387
62	25	385
63	26	386
64	26	387
65	27	386
66	27	388
67	28	387
68	28	386
69	29	386
70	29	387
71	29	386
72	30	386
73	30	384
74	31	382
75	31	381
76	31	381
77	32	380
78	32	380
79	33	380
80	33	379
81	33	379
82	34	379
83	34	379
84	35	379
85	35	378
86	36	378
87	36	378
88	36	378
89	37	377
90	37	378
91	38	380
92	38	380
93	39	379
94	39	380
95	40	380
96	40	379
97	41	378
98	41	378
99	41	377
100	42	377
101	42	378
102	43	378
103	43	377
104	44	377
105	44	377
106	45	376
107	45	376
108	45	375
109	46	375
110	46	374
111	47	374
112	47	373
113	48	373
114	48	373
115	49	373
116	49	373
117	50	374
118	50	374
119	51	374
120	51	373
121	52	374
122	52	373
123	53	374
124	53	373
125	53	373
126	54	373
127	54	373
128	55	374
129	55	374
130	56	374
131	56	373
132	57	372
133	57	372
134	58	372
135	58	372
136	59	372
137	59	372
138	60	371
139	60	371
140	61	371
141	61	371
142	62	372
143	62	371
144	63	371
145	63	370
146	63	370
147	64	370
148	64	370
149	65	370
150	65	370
151	66	369
152	66	369
153	67	368
154	67	368
155	68	369
156	68	368
157	69	368
158	69	367
159	69	367
160	70	367
161	70	366
162	71	366
163	71	366
164	72	365
165	72	365
166	73	365
167	73	364
168	73	363
169	74	363
170	75	363
171	75	363
172	75	362
173	76	361
174	76	361
175	77	361
176	77	360
177	78	360
178	78	360
179	79	361
180	79	360
181	80	362
182	81	362
183	81	362
184	82	361
185	82	361
186	83	362
187	84	362
188	84	362
189	84	361
190	85	361
191	85	361
192	86	361
193	86	361
194	88	363
195	88	363
196	89	362
197	89	362
198	89	361
199	90	361
200	90	360
201	91	359
202	91	359
203	92	359
204	92	358
205	92	358
206	93	357
207	93	357
208	94	356
209	94	356
210	95	355
211	95	354
212	95	354
213	96	354
214	96	353
215	97	352
216	97	352
217	97	351
218	98	350
219	98	349
220	99	349
221	99	348
222	99	348
223	100	347
224	100	347
225	101	346
226	101	345
227	101	345
228	102	344
229	103	344
230	103	344
231	103	343
232	104	343
233	104	342
234	105	342
235	105	341
236	105	340
237	106	340
238	106	339
239	107	339
240	107	338
241	108	338
242	108	338
243	109	337
244	109	337
245	109	336
246	110	335
247	110	335
248	110	334
249	111	334
250	111	333
251	112	333
252	112	332
253	113	331
254	113	331
255	114	331
256	114	331
257	115	331
258	115	330
259	116	330
260	116	329
261	116	329
262	117	328
263	117	327
264	118	327
265	118	326
266	118	326
267	119	325
268	119	324
